file,span_index,original,annotated,features
CaterinaSapiente-Calvino.txt,1,"""Caterina la Sapiente""","""Caterina la Sapiente""",
CaterinaSapiente-Calvino.txt,2,"Signori, voi sapete che ho una figlia che è la pupilla dei miei occhi. Ma da che è morta sua madre, sta chiusa in casa come un gatto, e non vuole metter fuori neanche la punta del naso.

Il Consiglio rispose:","Signori, <ab type=""pron"" ana=""2"">voi</ab> sapete che ho una figlia che è la pupilla dei miei occhi. Ma da che è morta sua madre, sta chiusa in casa come un gatto, e non vuole metter fuori neanche la punta del naso.

Il Consiglio rispose:",voi:2
CaterinaSapiente-Calvino.txt,3,"L'idea mi piace, - disse il padre. Chiamò la figlia. - Sentì, figlia mia, visto che non vuoi nessuna distrazione, ho pensato di aprire un collegio, e tu ne sarai padrona. Ti piace?","L'idea mi piace, - disse il padre. Chiamò la figlia. - Sentì, figlia mia, visto che non vuoi nessuna distrazione, ho pensato di aprire un collegio, e <ab type=""pron"" ana=""2"">tu</ab> ne sarai padrona. <ab type=""pron"" ana=""2"">Ti</ab> piace?",tu:2|Ti:2
CaterinaSapiente-Calvino.txt,4,Ma quello è un carbonaio!,Ma quello è un carbonaio!,
CaterinaSapiente-Calvino.txt,5,Alzati! Mio figlio s'è incapricciato di tua figlia. Cosa dobbiamo fare? Sposiamoli.,Alzati! Mio figlio s'è incapricciato di tua figlia. Cosa dobbiamo fare? Sposiamoli.,
CaterinaSapiente-Calvino.txt,6,"Come volete, Maestà. Ma io sono mercante e vostro figlio è sangue reale.","Come <ab type=""pron"" ana=""verb_2"">volete</ab>, Maestà. Ma io sono mercante e vostro figlio è sangue reale.",volete:verb_2
CaterinaSapiente-Calvino.txt,7,Non fa niente: è mio figlio che la vuole...,"Non fa niente: è mio figlio che <ab type=""pron"" ana=""3"">la</ab> vuole...",la:3
CaterinaSapiente-Calvino.txt,8,Io lo piglio.,Io lo piglio.,
CaterinaSapiente-Calvino.txt,9,"Non c'è bisogno di gente che spogli né che vesta, né di guardie dietro la porta.","Non c'<ab type=""pron"" ana=""verb_3"">è</ab> bisogno di gente che <ab type=""pron"" ana=""verb_2"">spogli</ab> né che <ab type=""pron"" ana=""verb_3"">vesta</ab>, né di guardie dietro la porta.",è:verb_3|spogli:verb_2|vesta:verb_3
CaterinaSapiente-Calvino.txt,10,"Caterina, ti ricordi di quel manrovescio che m'hai dato? Ti sei pentita?","Caterina, <ab type=""pron"" ana=""2"">ti</ab> ricordi di quel manrovescio che m'hai dato? <ab type=""pron"" ana=""2"">Ti</ab> sei pentita?",ti:2|Ti:2
CaterinaSapiente-Calvino.txt,11,Come? Non sei pentita?,Come? Non sei pentita?,
CaterinaSapiente-Calvino.txt,12,Manco per sogno.,Manco per sogno.,
CaterinaSapiente-Calvino.txt,13,E non ti vuoi pentire?,"E non <ab type=""pron"" ana=""2"">ti</ab> vuoi pentire?",ti:2
CaterinaSapiente-Calvino.txt,14,E chi ci pensa?,"E chi ci <ab type=""pron"" ana=""verb_3"">pensa</ab>?",pensa:verb_3
CaterinaSapiente-Calvino.txt,15,"Caterina, o ti penti, o ti calo nel trabocchetto!","Caterina, o <ab type=""pron"" ana=""2""><ab type=""pron"" ana=""2"">ti</ab></ab> penti, o ti calo nel trabocchetto!",ti:2|ti:2
CaterinaSapiente-Calvino.txt,16,"""ben levata""","""ben levata""",
CaterinaSapiente-Calvino.txt,17,"Non si può entrare, - disse il Reuzzo, - Caterina non si sente bene.","Non si può entrare, - <ab type=""pron"" ana=""verb_3"">disse</ab> il Reuzzo, - Caterina non si <ab type=""pron"" ana=""verb_3"">sente</ab> bene.",disse:verb_3|sente:verb_3
CaterinaSapiente-Calvino.txt,18,"Bella fresca, - rispose Caterina.","Bella fresca, - <ab type=""pron"" ana=""verb_3"">rispose</ab> Caterina.",rispose:verb_3
CaterinaSapiente-Calvino.txt,19,Ci pensi al manrovescio che m'hai dato?,"Ci <ab type=""pron"" ana=""verb_3"">pensi</ab> al manrovescio che m'hai dato?",pensi:verb_3
CaterinaSapiente-Calvino.txt,20,Penso a quello che vi devo dare.,"Penso a quello che <ab type=""pron"" ana=""2"">vi</ab> devo dare.",vi:2
CaterinaSapiente-Calvino.txt,21,"Caterina, ti sei pentita dello schiaffo che m'hai dato?","Caterina, <ab type=""pron"" ana=""2"">ti</ab> sei pentita dello schiaffo che m'hai dato?",ti:2
CaterinaSapiente-Calvino.txt,22,"Tanto piacere, divertitevi, quando arrivate scrivetemi.","Tanto piacere, divertitevi, quando <ab type=""pron"" ana=""verb_2"">arrivate</ab> scrivetemi.",arrivate:verb_2
CaterinaSapiente-Calvino.txt,23,Allora vado?,Allora vado?,
CaterinaSapiente-Calvino.txt,24,Come? Ancora lì siete?,"Come? Ancora lì <ab type=""pron"" ana=""verb_2"">siete</ab>?",siete:verb_2
CaterinaSapiente-Calvino.txt,25,Come assomiglia a Caterina la Sapiente!,Come assomiglia a Caterina la Sapiente!,
CaterinaSapiente-Calvino.txt,26,Padrone! - lei rispose.,"Padrone! - <ab type=""pron"" ana=""3"">lei</ab> rispose.",lei:3
CaterinaSapiente-Calvino.txt,27,"E voi, Signora, siete ancora da sposare?","E <ab type=""pron"" ana=""2"">voi</ab>, Signora, siete ancora da sposare?",voi:2
CaterinaSapiente-Calvino.txt,28,"Anch'io. Ve l'ho a dire? Voi, Signora, somigliate a una ragazza che mi piaceva a Palermo. Vi vorrei per moglie.","Anch'io. Ve l'ho a dire? <ab type=""pron"" ana=""2"">Voi</ab>, Signora, somigliate a una ragazza che mi piaceva a Palermo. <ab type=""pron"" ana=""2"">Vi</ab> vorrei per moglie.",Voi:2|Vi:2
CaterinaSapiente-Calvino.txt,29,"Ne ho gran piacere, Reuzzo -. E di lì a otto giorni si sposarono.","Ne ho gran piacere, Reuzzo -. E di lì a otto giorni si <ab type=""pron"" ana=""verb_3"">sposarono</ab>.",sposarono:verb_3
CaterinaSapiente-Calvino.txt,30,"Napoli, - disse Caterina. E gli misero nome Napoli.","Napoli, - <ab type=""pron"" ana=""verb_3"">disse</ab> Caterina. E gli misero nome Napoli.",disse:verb_3
CaterinaSapiente-Calvino.txt,31,Come assomiglia a Caterina la Sapiente e anche a mia moglie di Napoli!,Come assomiglia a Caterina la Sapiente e anche a mia moglie di Napoli!,
CaterinaSapiente-Calvino.txt,32,"Vedova, - rispose Caterina. - E voi?","Vedova, - rispose Caterina. - E <ab type=""pron"" ana=""2"">voi</ab>?",voi:2
CaterinaSapiente-Calvino.txt,33,Anch'io vedovo. Con un figlio. Ma sapete che voi assomigliate come una stampa a una Signora che conoscevo a Palermo e a una Signora che conoscevo a Napoli?,"Anch'io vedovo. Con un figlio. Ma sapete che <ab type=""pron"" ana=""2"">voi</ab> assomigliate come una stampa a una Signora che conoscevo a Palermo e a una Signora che conoscevo a Napoli?",voi:2
CaterinaSapiente-Calvino.txt,34,"""lo dice il popolo per una sentenza tradizionale""","""<ab type=""pron"" ana=""3"">lo</ab> dice il popolo per una sentenza tradizionale""",lo:3
CaterinaSapiente-Calvino.txt,35,"Reginella, che nome gli mettiamo?","Reginella, che nome gli mettiamo?",
CaterinaSapiente-Calvino.txt,36,Genova! - E Genova lo chiamarono.,"Genova! - E Genova <ab type=""pron"" ana=""3"">lo</ab> chiamarono.",lo:3
CaterinaSapiente-Calvino.txt,37,"Partite, e mi lasciate così con un figlio tra le braccia? - gli disse la Reginella.","Partite, e mi lasciate così con un fi<ab type=""pron"" ana=""3"">gli</ab>o tra le braccia? - gli disse la Reginella.",gli:3
CaterinaSapiente-Calvino.txt,38,"Vi faccio una carta, - le rassicurò il Reuzzo, - che questo è figlio mio ed è il Principino -. Mentre lui faceva i preparativi della partenza per Venezia, Caterina scrisse a Palermo al padre per un altro brigantino, con cameriere, governante, mobili, abiti nuovi e tutto. Il brigantino andò a Venezia. Partì il Reuzzo, sulla fregata; la Reginella partì sul brigantino e arrivò prima di lui.","<ab type=""pron"" ana=""2"">Vi</ab> faccio una carta, - <ab type=""pron"" ana=""3"">le</ab> rassicurò il Reuzzo, - che questo è figlio mio ed è il Principino -. Mentre <ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3"">lui</ab></ab> faceva i preparativi della partenza per Venezia, Caterina scrisse a Palermo al padre per un altro brigantino, con cameriere, governante, mobili, abiti nuovi e tutto. Il brigantino andò a Venezia. Partì il Reuzzo, sulla fregata; la Reginella partì sul brigantino e arrivò prima di lui.",Vi:2|le:3|lui:3|lui:3
